WI06 TVD02 TVD06 TVD03 PT1000_1 "Master clock"
496 39.25 21.9375 51.125 42.5625 964.05
499 39.375 22.0 50.9375 42.625 969.1
501 39.4375 22.0 51.125 43.0625 974.15
504 39.5625 22.0 51.1875 43.125 979.2
507 39.6875 22.0625 51.3125 43.0625 984.25
509 39.8125 22.0625 51.6875 43.0625 989.28
512 39.875 22.0625 51.9375 43.4375 994.39
514 40.0 22.125 52.125 43.3125 999.44
517 40.0 22.125 52.0625 43.25 1004.48
520 40.125 22.125 52.0 43.1875 1009.53
522 40.1875 22.1875 52.125 43.5 1014.58
525 40.3125 22.1875 52.0625 43.625 1019.63
528 40.375 22.1875 52.125 43.625 1024.68
530 40.4375 22.25 52.0 43.5625 1029.71
533 40.5625 22.25 52.3125 43.75 1034.76
535 40.6875 22.25 52.75 44.0 1039.81
538 40.8125 22.3125 52.8125 44.0625 1044.85
541 40.875 22.3125 52.8125 43.875 1049.9
543 40.9375 22.3125 52.9375 43.875 1054.95
546 41.0 22.375 53.125 44.0 1060.0
548 41.0 22.375 53.1875 44.1875 1065.05
551 41.125 22.375 53.125 44.3125 1070.09
554 41.1875 22.375 53.1875 44.1875 1075.14
556 41.25 22.375 53.4375 44.25 1080.19
559 41.3125 22.4375 53.875 44.625 1085.24
562 41.5 22.4375 54.125 45.0 1090.29
564 41.625 22.4375 53.9375 45.0625 1095.4
567 41.75 22.5 53.6875 45.0 1100.4
569 41.8125 22.5 53.8125 44.9375 1105.42
572 41.875 22.5 54.125 44.9375 1110.47
575 42.0 22.5 54.3125 45.0 1115.52
577 42.0625 22.5 54.3125 45.0 1120.57
580 42.125 22.5625 54.3125 45.0625 1125.61
582 42.1875 22.5625 54.1875 45.0 1130.67
585 42.1875 22.625 54.3125 45.0625 1135.72
588 42.25 22.625 54.5625 45.3125 1140.77
590 42.375 22.625 54.8125 45.375 1145.81
593 42.4375 22.625 54.9375 45.5 1150.85
596 42.5625 22.625 54.8125 45.5 1155.9
598 42.625 22.6875 55.0625 45.6875 1160.95
601 42.6875 22.6875 55.25 45.6875 1165.99
603 42.75 22.6875 55.4375 45.75 1171.04
606 42.8125 22.75 55.8125 45.75 1176.09
609 42.875 22.75 56.0 46.0 1181.14
614 43.125 22.75 55.8125 46.1875 1186.34
617 43.1875 22.8125 55.9375 46.1875 1191.34
619 43.3125 22.8125 56.0625 46.125 1196.34
622 43.3125 22.8125 56.4375 46.25 1201.35
624 43.375 22.875 56.875 46.125 1206.4
627 43.4375 22.875 57.0625 46.25 1211.45
630 43.5 22.9375 57.3125 46.1875 1216.49
632 43.625 22.9375 57.4375 46.375 1221.54
635 43.6875 22.9375 57.75 46.6875 1226.58
638 43.75 22.9375 57.8125 46.875 1231.63
640 43.8125 23.0 57.6875 46.6875 1236.69
643 43.875 23.0 57.875 46.9375 1241.74
645 43.9375 23.0 58.125 47.125 1246.79
648 44.0625 23.0 58.4375 47.375 1251.83
651 44.125 23.0625 58.5625 47.6875 1256.88
653 44.3125 23.0625 58.6875 47.8125 1261.93
656 44.375 23.0625 58.5625 47.8125 1266.99
658 44.5 23.125 58.5 47.875 1272.04
661 44.5625 23.125 58.375 47.75 1277.08
664 44.625 23.125 58.25 47.6875 1282.14
666 44.625 23.1875 58.5625 47.75 1287.19
669 44.6875 23.1875 58.9375 48.0 1292.24
672 44.8125 23.1875 59.0625 48.125 1297.29
674 44.9375 23.1875 58.9375 48.0625 1302.34
677 45.0 23.25 58.9375 48.125 1307.38
679 45.0625 23.25 59.125 48.1875 1312.43
682 45.125 23.25 59.4375 48.1875 1317.48
685 45.1875 23.3125 59.5 48.125 1322.53
687 45.3125 23.3125 59.75 48.3125 1327.59
690 45.375 23.375 59.875 48.1875 1332.65
692 45.375 23.375 59.9375 48.1875 1337.7
695 45.5 23.375 59.75 48.1875 1342.75
698 45.5625 23.4375 59.8125 48.0625 1347.81
700 45.5625 23.4375 60.0 48.125 1352.86
703 45.625 23.4375 60.1875 48.1875 1357.9
705 45.6875 23.4375 60.625 48.5 1362.94
708 45.875 23.5 60.8125 49.125 1367.99
711 46.0 23.5 60.75 48.9375 1373.04
713 46.0625 23.5 60.625 48.75 1378.16
716 46.125 23.5625 60.8125 48.6875 1383.21
718 46.125 23.5625 61.125 49.0625 1388.26
721 46.25 23.5625 61.25 49.25 1393.31
724 46.3125 23.5625 61.3125 49.125 1398.35
726 46.375 23.625 61.4375 49.125 1403.4
729 46.4375 23.625 61.5 49.1875 1408.45
732 46.5 23.625 61.875 49.25 1413.5
734 46.5625 23.6875 62.0625 49.5625 1418.54
737 46.625 23.6875 62.0625 49.5625 1423.59
739 46.6875 23.6875 61.875 49.375 1428.63
742 46.6875 23.75 62.0625 49.375 1433.68
745 46.75 23.75 62.25 49.5 1438.72
747 46.8125 23.75 62.3125 49.5 1443.77
750 46.875 23.8125 62.3125 49.5625 1448.82
752 46.9375 23.8125 62.5 49.625 1453.87
755 47.0 23.8125 62.5 49.4375 1458.91
758 47.125 23.8125 62.3125 49.3125 1463.97
760 47.1875 23.875 62.625 49.5 1469.0
763 47.1875 23.875 62.9375 49.6875 1474.05
765 47.25 23.875 63.0625 49.8125 1479.1
768 47.3125 23.9375 63.0 50.0 1484.14
771 47.375 23.9375 62.8125 49.875 1489.18
773 47.4375 24.0 62.9375 49.9375 1494.23
776 47.4375 24.0 63.0625 50.25 1499.29
779 47.5 24.0 63.1875 50.375 1504.32
781 47.5625 24.0 63.4375 50.375 1509.37
784 47.6875 24.0625 63.25 50.4375 1514.42
786 47.75 24.0625 63.1875 50.3125 1519.47
789 47.75 24.0625 63.3125 50.125 1524.51
792 47.8125 24.125 63.25 50.125 1529.56
794 47.875 24.125 63.3125 50.0625 1534.6
797 47.875 24.125 63.4375 50.0625 1539.65
799 47.9375 24.1875 63.625 50.25 1544.7
802 47.9375 24.1875 63.75 50.375 1549.75
805 48.0 24.1875 63.75 50.5 1554.8
807 48.0625 24.25 63.5625 50.375 1559.85
810 48.125 24.25 63.4375 50.375 1564.89
813 48.1875 24.25 63.6875 50.5 1569.93
815 48.25 24.3125 63.875 50.6875 1574.98
818 48.3125 24.3125 64.25 50.75 1580.03
820 48.3125 24.375 64.625 50.8125 1585.07
823 48.375 24.375 64.75 50.875 1590.12
826 48.4375 24.375 64.5625 50.8125 1595.17
828 48.5 24.375 64.5625 50.75 1600.21
831 48.5 24.4375 64.5 50.75 1605.25
833 48.5625 24.4375 64.6875 50.875 1610.3
836 48.6875 24.4375 64.75 50.8125 1615.4
839 48.75 24.5 64.625 51.1875 1620.4
841 48.8125 24.5 64.75 51.4375 1625.44
844 48.9375 24.5 65.0 51.5625 1630.49
847 49.0625 24.5625 65.0 51.4375 1635.54
849 49.0625 24.5625 64.8125 51.375 1640.58
852 49.125 24.5625 65.1875 51.5 1645.64
855 49.1875 24.625 65.6875 51.9375 1650.69
857 49.375 24.625 65.875 52.3125 1655.8
860 49.5 24.625 65.875 52.625 1660.85
862 49.625 24.6875 65.625 52.5 1665.89
865 49.6875 24.6875 65.5625 52.3125 1670.94
868 49.75 24.6875 65.6875 52.375 1675.99
870 49.75 24.75 66.0 52.4375 1681.03
873 49.8125 24.75 66.125 52.375 1686.08
876 49.8125 24.75 66.125 52.3125 1691.13
881 49.875 24.8125 66.0625 52.3125 1696.34
883 49.9375 24.8125 66.0625 52.5 1701.34
886 50.0 24.8125 66.125 52.3125 1706.34
889 50.0 24.875 66.4375 52.125 1711.34
891 50.0 24.875 66.8125 52.25 1716.36
894 50.125 24.9375 67.125 52.5625 1721.41
897 50.125 24.875 67.25 52.5 1726.46
899 50.1875 24.9375 67.375 52.625 1731.5
902 50.25 25.0 67.25 52.5625 1736.54
905 50.3125 25.0 67.0625 52.6875 1741.59
907 50.4375 25.0 67.3125 52.875 1746.64
910 50.5 25.0 67.5625 52.875 1751.69
912 50.5625 25.0625 67.75 52.75 1756.75
915 50.625 25.0625 67.8125 52.5625 1761.81
918 50.6875 25.0625 68.0625 52.625 1766.88
920 50.6875 25.125 68.3125 52.6875 1771.93
923 50.75 25.125 68.3125 52.9375 1776.99
926 50.75 25.125 68.1875 52.875 1782.04
928 50.8125 25.1875 68.25 52.9375 1787.12
931 50.875 25.1875 68.4375 52.875 1792.16
933 50.9375 25.25 68.5625 53.0 1797.21
936 51.0 25.25 68.8125 53.25 1802.24
939 51.0 25.25 68.9375 53.3125 1807.28
941 51.0625 25.3125 68.9375 53.375 1812.33
944 51.0625 25.3125 68.875 53.1875 1817.38
947 51.125 25.3125 69.0625 53.125 1822.43
949 51.1875 25.375 69.3125 53.25 1827.48
952 51.25 25.375 69.5 53.75 1832.53
954 51.3125 25.375 69.6875 53.8125 1837.57
957 51.375 25.375 69.625 53.75 1842.62
960 51.375 25.4375 69.75 53.75 1847.67
962 51.4375 25.4375 70.0 53.75 1852.72
965 51.5 25.4375 69.875 53.6875 1857.77
967 51.5625 25.5 69.9375 53.625 1862.82
970 51.625 25.5 70.0 53.875 1867.87
973 51.6875 25.5 70.0 54.375 1872.91
975 51.8125 25.5625 70.0625 54.3125 1877.97
978 51.875 25.5625 70.3125 54.1875 1883.01
981 51.9375 25.5625 70.5625 54.375 1888.06
983 52.0 25.625 70.625 54.375 1893.1
986 52.0 25.625 70.375 54.25 1898.14
988 52.0 25.6875 70.5 54.25 1903.18
991 52.0625 25.625 70.375 54.125 1908.22
994 52.125 25.6875 70.375 54.0 1913.28
996 52.1875 25.6875 70.5625 54.1875 1918.33
999 52.1875 25.75 70.875 54.5 1923.37
1002 52.25 25.75 71.0625 54.875 1928.41
1004 52.3125 25.75 71.25 54.875 1933.46
1007 52.4375 25.8125 71.1875 54.8125 1938.51
1009 52.5 25.8125 71.25 54.75 1943.56
1012 52.5 25.8125 71.3125 54.6875 1948.61
1015 52.5625 25.875 71.4375 54.75 1953.66
1017 52.625 25.875 71.75 54.8125 1958.71
1020 52.625 25.875 71.8125 54.8125 1963.75
1022 52.6875 25.875 71.875 54.75 1968.8
1025 52.6875 25.9375 71.8125 54.75 1973.85
1028 52.75 25.9375 71.9375 55.0625 1978.89
1030 52.8125 25.9375 71.8125 55.25 1984.05
1033 52.875 26.0 71.6875 55.25 1989.1
1036 52.9375 26.0 71.75 55.1875 1994.14
1038 52.9375 26.0 71.75 55.375 1999.19
1041 53.0 26.0625 71.625 55.25 2004.23
1043 53.0 26.0625 71.5625 55.1875 2009.28
1046 53.0625 26.0625 72.0625 55.375 2014.33
1049 53.125 26.125 72.0 55.75 2019.37
1051 53.1875 26.125 71.9375 55.6875 2024.42
1054 53.1875 26.125 72.0625 55.625 2029.47
1056 53.1875 26.125 72.4375 55.625 2034.52
1059 53.25 26.1875 72.5625 55.9375 2039.57
1062 53.375 26.1875 72.4375 55.9375 2044.62
1064 53.4375 26.25 72.3125 56.0 2049.67
