WI06 TVD02 TVD06 PT1000_1 "Master clock"
675 43.75 33.375 46.25 1305.01
678 43.75 33.4375 46.25 1310.06
680 43.875 33.5 46.25 1315.09
683 43.9375 33.5625 46.3125 1320.14
686 44.0 33.625 46.3125 1325.18
688 44.0625 33.6875 46.375 1330.22
691 44.125 33.75 46.375 1335.26
693 44.1875 33.75 46.5625 1340.31
696 44.25 33.8125 46.6875 1345.36
698 44.3125 33.875 46.75 1350.39
701 44.375 33.9375 46.75 1355.45
704 44.4375 34.0 46.8125 1360.49
706 44.5 34.0 46.875 1365.54
709 44.5625 34.0625 46.9375 1370.58
711 44.625 34.125 47.0 1375.63
714 44.6875 34.1875 47.0 1380.68
716 44.75 34.25 47.125 1385.72
719 44.8125 34.3125 47.25 1391.0
722 44.875 34.375 47.25 1396.05
724 44.9375 34.4375 47.3125 1401.09
727 45.0 34.4375 47.4375 1406.13
729 45.0625 34.5625 47.375 1411.18
732 45.125 34.5625 47.4375 1416.27
735 45.1875 34.625 47.625 1421.27
737 45.25 34.6875 47.6875 1426.3
740 45.3125 34.75 47.6875 1431.35
742 45.375 34.8125 47.625 1436.39
745 45.4375 34.8125 47.8125 1441.43
748 45.5 34.875 48.1875 1446.46
750 45.5625 34.9375 48.125 1451.52
753 45.625 35.0 48.1875 1456.56
755 45.6875 35.0625 48.1875 1461.61
758 45.75 35.125 48.3125 1466.64
761 45.8125 35.1875 48.375 1471.7
763 45.875 35.1875 48.4375 1476.74
766 45.9375 35.3125 48.4375 1481.77
768 46.0 35.3125 48.375 1486.82
771 46.0625 35.375 48.4375 1491.85
774 46.125 35.4375 48.4375 1496.9
776 46.1875 35.5 48.5625 1501.94
779 46.25 35.5625 48.875 1506.97
781 46.3125 35.625 48.875 1512.01
786 46.4375 35.6875 48.9375 1517.22
789 46.5 35.8125 48.9375 1522.22
791 46.5625 35.8125 49.0 1527.22
794 46.625 35.875 48.9375 1532.22
796 46.6875 35.9375 48.9375 1537.24
799 46.75 36.0 49.0 1542.28
801 46.875 36.0625 49.0 1547.31
804 46.9375 36.0625 49.0 1552.36
806 47.0 36.125 48.9375 1557.4
809 47.0 36.1875 49.0 1562.45
811 47.0625 36.25 48.9375 1567.5
814 47.0625 36.3125 49.0 1572.52
817 47.125 36.3125 49.0625 1577.57
819 47.1875 36.375 49.1875 1582.61
822 47.25 36.4375 49.25 1587.66
824 47.3125 36.5 49.3125 1592.69
827 47.3125 36.5625 49.375 1597.74
829 47.375 36.625 49.375 1602.78
832 47.4375 36.6875 49.5 1607.83
834 47.5 36.75 49.6875 1612.87
837 47.5625 36.75 49.6875 1617.92
839 47.625 36.8125 49.75 1622.96
842 47.6875 36.875 49.75 1628.0
844 47.6875 36.9375 49.875 1633.03
847 47.75 36.9375 49.8125 1638.08
849 47.8125 37.0 49.875 1643.13
852 47.875 37.0625 49.875 1648.18
854 47.9375 37.125 49.9375 1653.2
857 48.0 37.1875 50.0625 1658.25
860 48.0625 37.25 50.125 1663.29
862 48.125 37.3125 50.1875 1668.33
865 48.1875 37.375 50.25 1673.37
867 48.1875 37.375 50.25 1678.41
870 48.25 37.4375 50.3125 1683.43
872 48.3125 37.5 50.375 1688.48
875 48.375 37.5625 50.375 1693.52
877 48.4375 37.625 50.625 1698.55
880 48.5 37.6875 50.6875 1703.6
882 48.5625 37.75 50.6875 1708.65
885 48.625 37.8125 50.8125 1713.69
887 48.625 37.8125 50.8125 1718.73
890 48.6875 37.9375 50.875 1723.75
892 48.75 38.0 50.9375 1728.81
895 48.8125 38.0 51.0 1733.84
897 48.875 38.0625 51.0625 1738.89
900 48.9375 38.0625 51.0625 1743.93
902 49.0 38.1875 51.0 1748.96
905 49.0625 38.1875 51.0 1754.0
907 49.125 38.3125 51.1875 1759.05
910 49.125 38.3125 51.0625 1764.09
912 49.25 38.375 51.0625 1769.12
915 49.25 38.4375 51.125 1774.17
918 49.3125 38.5 51.25 1779.21
920 49.375 38.5625 51.375 1784.26
923 49.375 38.5625 51.5625 1789.29
925 49.4375 38.6875 51.5 1794.34
928 49.5 38.6875 51.5625 1799.38
930 49.5625 38.75 51.75 1804.42
933 49.625 38.8125 51.8125 1809.45
935 49.6875 38.875 52.0 1814.49
938 49.75 38.9375 52.0 1819.53
941 49.75 39.0 51.9375 1824.58
943 49.8125 39.0 52.0 1829.62
946 49.875 39.0625 51.9375 1834.67
948 49.875 39.125 52.0 1839.74
951 49.9375 39.1875 51.9375 1844.76
953 50.0 39.25 51.9375 1849.81
956 50.0625 39.3125 52.125 1854.85
959 50.125 39.3125 52.125 1859.9
961 50.1875 39.375 52.1875 1864.92
964 50.25 39.4375 52.25 1870.02
967 50.25 39.5 52.25 1875.06
969 50.3125 39.5625 52.3125 1880.11
972 50.375 39.5625 52.375 1885.14
974 50.4375 39.625 52.375 1890.19
977 50.5 39.6875 52.5 1895.23
980 50.5625 39.75 52.4375 1900.26
982 50.5625 39.8125 52.5 1905.31
985 50.625 39.875 52.5 1910.35
988 50.6875 39.9375 52.6875 1915.39
990 50.75 39.9375 52.9375 1920.44
993 50.8125 40.0 53.0 1925.48
995 50.875 40.0625 53.0 1930.53
998 50.9375 40.125 52.9375 1935.57
1001 50.9375 40.1875 52.9375 1940.61
1003 51.0 40.25 53.125 1945.65
1006 51.0625 40.25 53.3125 1950.69
1009 51.125 40.3125 53.3125 1955.74
1011 51.1875 40.375 53.3125 1960.79
1014 51.25 40.4375 53.375 1965.81
1016 51.3125 40.4375 53.375 1970.86
1019 51.375 40.5 53.6875 1975.91
1022 51.4375 40.5625 53.625 1980.95
1024 51.5 40.625 53.625 1986.0
1027 51.5625 40.6875 53.6875 1991.04
1029 51.625 40.6875 53.6875 1996.09
1032 51.625 40.75 53.75 2001.14
1034 51.6875 40.8125 53.75 2006.17
1037 51.75 40.875 53.75 2011.27
1039 51.8125 40.875 53.875 2016.27
1042 51.8125 40.9375 53.875 2021.31
1045 51.9375 41.0 53.9375 2026.34
1047 52.0 41.0625 54.0625 2031.39
1050 52.0625 41.0625 54.125 2036.57
1052 52.0625 41.125 54.25 2041.61
1055 52.125 41.1875 54.125 2046.67
1057 52.125 41.25 54.0 2051.71
1060 52.1875 41.25 54.0625 2056.74
1062 52.25 41.3125 54.125 2061.8
1065 52.25 41.375 54.0 2066.85
1067 52.3125 41.4375 54.0625 2071.89
1070 52.375 41.5 54.125 2076.92
1073 52.375 41.5 54.1875 2081.97
1075 52.4375 41.5625 54.375 2087.01
1080 52.5 41.6875 54.4375 2092.22
1083 52.5625 41.6875 54.4375 2097.22
1086 52.625 41.8125 54.625 2102.22
1088 52.6875 41.8125 54.9375 2107.22
1091 52.75 41.8125 55.0 2112.25
1094 52.8125 41.875 55.0 2117.28
1096 52.8125 41.9375 55.0 2122.32
1099 52.875 41.9375 55.125 2127.37
1101 52.9375 42.0 55.0625 2132.41
1104 53.0 42.0625 55.0625 2137.44
1107 53.0625 42.125 55.125 2142.53
1109 53.125 42.125 55.25 2147.64
1112 53.1875 42.1875 55.25 2152.7
1115 53.25 42.25 55.25 2157.76
1117 53.25 42.3125 55.1875 2162.8
1120 53.3125 42.3125 55.25 2167.83
1122 53.375 42.375 55.1875 2172.87
1125 53.375 42.4375 55.0625 2177.9
1128 53.4375 42.4375 55.1875 2182.95
1130 53.5 42.5 55.25 2188.0
1133 53.5 42.5625 55.25 2193.03
1136 53.5625 42.625 55.5 2198.08
1138 53.625 42.625 55.5 2203.12
1141 53.625 42.6875 55.625 2208.16
1143 53.6875 42.75 55.875 2213.2
1146 53.75 42.75 55.875 2218.24
1149 53.8125 42.8125 55.75 2223.29
1151 53.875 42.875 55.6875 2228.33
1154 53.9375 42.9375 55.75 2233.36
1157 54.0 43.0 55.9375 2238.41
1159 54.0625 43.0 55.8125 2243.46
1162 54.0625 43.0625 55.75 2248.5
1164 54.125 43.125 55.75 2253.54
1167 54.125 43.1875 55.8125 2258.57
1170 54.1875 43.25 55.875 2263.62
1172 54.1875 43.3125 55.875 2268.67
1175 54.25 43.3125 56.0 2273.71
1178 54.3125 43.375 56.0625 2278.77
1180 54.375 43.4375 56.125 2283.82
1183 54.375 43.5 56.1875 2288.87
1185 54.4375 43.5625 56.3125 2293.92
1188 54.4375 43.5625 56.3125 2298.97
1191 54.5 43.625 56.4375 2304.02
1193 54.5625 43.6875 56.625 2309.04
1196 54.625 43.6875 56.625 2314.09
1198 54.6875 43.75 56.5625 2319.14
1201 54.6875 43.8125 56.6875 2324.17
1204 54.75 43.875 56.75 2329.2
1206 54.8125 43.9375 56.6875 2334.24
1209 54.875 43.9375 56.75 2339.29
1212 54.9375 44.0 56.75 2344.34
1214 54.9375 44.0625 56.75 2349.39
1217 55.0 44.125 56.8125 2354.41
1219 55.0625 44.125 56.75 2359.46
1222 55.125 44.1875 56.9375 2364.5
1225 55.1875 44.25 56.8125 2369.53
